*	Quality Status	Status	MO Status	Rolls to Pack	Rolls To Transfer	Skids Left to Transfer	Fab to Inspect/Unassign	MO Promise Date	SO Promise Date	FG Panel Items		FG MO	Ship To Customer	Ship To Customer	Core Size	A Grade Completed	FG Req Qty	Open Qty	Extrusion Completed	Fab Metres Prod.	# Of Aframes	Fab MO	Available Master Qty	Fab Item	Fab Description	Sold To	Prod Structure	Pri	Type	Dest	Target Roll Len	Bags Required	Assigned Machine	Scheduled Machine	Activity	Hrs	Days	Schedule Complete Date	
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/09	2025/07/10	30310     5x11.75" 62" Mill Roll 30312	30310    011.7500 11	0000554061	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	750.00	false	SLITTER	SLITTER	DEACROSLIT1	30.12141	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/09	2025/07/10	30194     7x11.75"	30194    011.7500 07	0000553539	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	1,000	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER	SLITTER	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/13	2025/07/14	30194     7x11.75"	30194    011.7500 07	0000553541	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER	SLITTER	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/13	2025/07/14	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554063	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER	SLITTER	DEACROSLIT1	40.87906	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/16	2025/07/17	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554065	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER	SLITTER	DEACROSLIT1	40.87906	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/17	2025/07/18	30194     7x11.75"	30194    011.7500 07	0000553543	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER	SLITTER	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/18	2025/07/19	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554066	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER	SLITTER	DEACROSLIT1	40.87906	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/21	2025/07/22	30194     7x11.75"	30194    011.7500 07	0000553544	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER	SLITTER	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/07	2025/07/08	30194     7x11.75"	30194    011.7500 07	0000553538	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER2	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/11	2025/07/12	30194     7x11.75"	30194    011.7500 07	0000553540	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER2	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/12	2025/07/13	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554062	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER2	SLITTER2	DEACROSLIT1	40.87906	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/15	2025/07/16	30194     7x11.75"	30194    011.7500 07	0000553542	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER2	DEACROSLIT2	25.81835	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/15	2025/07/16	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554064	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER2	SLITTER2	DEACROSLIT1	40.87906	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/20	2025/07/21	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554067	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER2	SLITTER2	DEACROSLIT1	40.87906	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/07/20	2025/07/21	30194     7x11.75"	30194    011.7500 07	0000553550	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	0.00	182,880.00	182,880.00	false	0.00	0	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER2	DEACROSLIT2	25.81835	0		
	ORDER CLEARED	OK	Closed				0.00	2025/06/23	2025/06/24	25036     2x36"	25036    036.0000 02	0000554582	0001587019	ARIZONA CORRECTIONAL INDUSTRIES	CR2X36.5	1,079.68	1,097.28	17.60	false	0.00	0	USE MASTER	0.0	25036	Fab SoffTICK® 9-10 Battleship Grey Vel 74"	SPEC-TEX INC	9/PC079 - 10oz	999999999	IV	AZ, US	91.44	false	INSPECT2	INSPECT2	SINGLEPASSWIDE	1.30383	0		
	ORDER CLEARED	OK	Closed				0.00	2025/06/26	2025/06/27	28962     2x36.5"	28962    036.5000 01	0000554398	0000678001	Haining Yikang Textile Co. Ltd	CR3X36.5	40,116.00	40,000.00	-116.00	true	20,196.00	4	0000554399	0.0	28962	Fab V-Care® 8/14HD Green Vel 75"	HAINING YIKANG TEXTILE CO. LTD	8/PC014 - 6.8oz	999999999	IV	, CN	220.00	false	INSPECT2	INSPECT2	SINGLEPASSWIDE	24.47059	0		
	ORDER CLEARED	OK	Closed				0.00	2025/06/26	2025/06/27	30232     63" 3" cores	30232    063.0000 09	0000553981	0001587269	BESPOKE LOGISTICS	CR3X63	67,860.40	67,885.06	24.66	true	63,143.70	11	USE MASTER	69,003.0	30232	Fab V-Care® AB 7/19 Pillow Super White Vel 67"	SPEC-TEX INC	7/PC019 - 5.2oz	999999999	IV	TX, US	448.00	false	INSPECT5	INSPECT5	STD_INSPECTION	51.91211	0		
	ORDER CLEARED	OK	Closed				0.00	2025/06/22	2025/06/23	29272     3x21" using 30362 Fab	29272    021.0000 02	0000553802	0001322016	STANDARD TEXTILES BROWNSVILLE	CR3X21	18,289.80	18,288.00	-1.80	true	4,049.70	1	USE MASTER	2,516.1	30362	Fab V-Care® AB 7/19 Peach Vel 67"	STANDARD TEXTILE CO. INC  ATTN: PRIDECRAFT DIV	7/PC019 - 5.2oz	999999999	IV	TX, US	228.60	false	INSPECT6	INSPECT6	STD_INSPECTION	6.02428	0		
	ORDER CLEARED	OK	Closed				0.00	2025/06/22	2025/06/23	30310     5x11.79" 62" Mill Roll 30312	30310    011.7900 12	0000554517	0001855002	WELCH ALLYN (TIJUANA)	CR3X11.75	183,354.00	182,880.00	-474.00	true	36,480.00	24	USE MASTER	46,898.6	30312    062.0000 00	MILL Vintex® 2ply TL/FP SoftSL-9.2 VJ White FeaKid 62"	WELCH ALLYN INC (TJ)	SL1.2/PC051 - 9.2oz	999999999	IV	CA, US	320.00	false	SLITTER	SLITTER2	DEACROSLIT1	40.87906	0		
	ORDER CLEARED	OK	Closed				0.00	2025/06/22	2025/06/23	30194     7x11.75"	30194    011.7500 07	0000553130	0000630001	GE HEALTHCARE INFORMATION TECHNOLOGIES	CR3X11.75	183,059.20	182,880.00	-179.20	true	26,205.20	19	USE MASTER	87,395.1	30350    083.0000 00	MILL Vintex® 2ply SL-9.3 White FeaKid 83"	GE HEALTHCARE TECHNOLOGIES INC	SL1.2/PC051 - 9.5oz	999999999	IV	TX, US	137.16	false	SLITTER2	SLITTER2	DEACROSLIT2	25.81835	0		
